Category,Question (common phrasing),Type,What they screen for,Rule / how to answer,My answer,Notes
Personal,Legal first name / last name,fact,Identity match to work authorization,Use legal name exactly as on your ID/EAD. Fix ALL-CAPS from resume parsing to Title Case.,,
Personal,Preferred first name,fact,What they'll call you,"If there is a separate Preferred field, legal name goes in First/Last.",,
Personal,Email / Phone,fact,Contact,One application email everywhere. Phone with country code (+1 …) often auto-sets the country picker.,,
Personal,Street address / City / State / ZIP / Country,fact,Location,Workday parsers usually leave Address Line 1 empty — fill it.,,
Personal,LinkedIn URL,fact,Profile review,Use the full https://www.linkedin.com/in/... form; some Workday tenants reject the short form and block the whole step.,,
Personal,Website / Portfolio,fact,Verifiable work samples,Optional. Only include if it supports this lane.,,
Personal,Current or most recent employer / job title,fact,Seniority context,Must match the first role on your resume.,,
Personal,Pronouns,judgment,Optional inclusion field,,,
Personal,Name pronunciation,judgment,Optional,Leave blank if you have no saved answer; don't invent one.,,
Work authorization,Are you legally authorized to work in the United States?,fact,Baseline eligibility gate,,,
Work authorization,Will you now or in the future require visa sponsorship?,fact,"Sponsorship filter, sometimes a hard gate",Answer truthfully. Some forms split NOW vs FUTURE into two questions — answer each literally.,,
Work authorization,Will you NOW require sponsorship? / IN THE FUTURE?,fact,Split sponsorship gate,"Answer each half literally (e.g. on OPT: now = No, future = Yes).",,
Work authorization,Do you have an UNRESTRICTED right to work (no expiration date)?,fact,Strict eligibility,"If your work permit has an expiration date, the literal answer is No — read the definition in the question.",,
Work authorization,Sponsorship question bundled with 'F-1 CPT letter / STEM OPT training plan',fact,Admin burden of student visas,Answer truthfully. Treat the employer as HIGH sponsorship risk: ask the recruiter at first contact.,,
Work authorization,Current visa type / status (free text or picker),fact,Work-auth runway,Use the exact status you hold today (e.g. initial OPT vs STEM OPT extension are different).,,
Work authorization,Work permit start/end dates (Format: MM/DD/YYYY to MM/DD/YYYY),fact,Runway verification,"Follow the stated format exactly; prose fails validation. If you don't have the dates yet, ask — never invent.",,
Work authorization,Are you a U.S. citizen or permanent resident? / U.S. person?,fact,Export-control / sponsorship,,,
Work authorization,Can you provide verification of identity and work eligibility (I-9) upon hire?,fact,I-9,,,
Logistics,Can you work onsite at [location] N days/week?,judgment,Onsite feasibility — often a knockout,Decide per location BEFORE opening the form (some forms time out while you think).,,
Logistics,Are you open to relocation? / at your own expense?,judgment,Relocation willingness,Relocation and in-office questions use DIFFERENT option wording on the same form — never copy one answer into the other.,,
Logistics,Do you live within N miles of [office]?,fact,Commute,Answer literally from your address.,,
Logistics,Desired salary / expected total compensation,judgment,Budget alignment; anchoring,"Set a rule once (e.g. 'midpoint of disclosed band, never below $X'). Check whether it asks BASE or TOTAL. Optional fields can stay blank.",,
Logistics,Do you accept the listed salary range?,judgment,Band alignment gate,,,
Logistics,Earliest start date / notice period,judgment,Timeline,,,
Source,How did you hear about this job?,fact,Channel attribution,"Standing rule: pick the company career site option (it may be called Careers Page, Career Site, Company Website). If none exists, pick the closest honest option. On Workday this may be a multi-level menu.",,
Source,Were you referred? By whom?,per-company,Referral routing,,,
History,Have you ever worked for [Company] or its subsidiaries (employee / contractor)?,fact,Rehire check,"Answer from your timeline. Options are often full sentences, not Yes/No.",,
History,"Have you been employed by [audit firm, e.g. EY/PwC] within N months?",fact,Auditor independence,Answer from your timeline.,,
History,Are you bound by a non-compete / non-solicit with a former employer?,judgment,Restrictive covenants,,,
History,Were you a government employee in the last N years? (incl. public universities / state-owned entities),judgment,Post-government employment rules,"Definitions vary — some include publicly funded universities. Decide once, apply consistently.",,
Conflicts,Do relatives or close friends work at [Company]?,per-company,Conflict of interest,Ask EVERY time. Never reuse.,,
Conflicts,Is a relative/close contact a government official (incl. state-owned enterprise employees)?,per-company,Anti-bribery (FCPA),"Very broad definitions (can include public school teachers, state-owned bank staff). Ask every time.",,
Conflicts,"Outside business activities (advisory, board, side business) you'd continue?",judgment,Conflict disclosure,"If your resume shows an ongoing side/volunteer role, answering No may contradict it.",,
Conflicts,Is your current employer a customer/competitor of [Company]?,per-company,Conflict of interest,,,
Conflicts,"Citizen/resident of sanctioned countries (Cuba, Iran, N. Korea, Syria …)?",fact,Sanctions screening,,,
Experience,How many years of [X] experience do you have?,fact,Seniority screen,Compute from the timeline; count only roles that honestly are X. Recruiters compare this with your resume dates.,,
Experience,Rate your proficiency in Excel / SQL / Tableau …,judgment,Tool screen,Use your Master Profile 1–5 ratings.,,
Experience,Have you completed a Bachelor's / Master's degree?,fact,Education knockout,,,
Motivation,Why do you want to work at [Company]? / What excites you about this role?,per-company,Genuine interest,Draft from one concrete product observation + one news item from the last 30 days. No mission-statement clichés. Show the user before submitting.,,
Motivation,What does our mission/purpose mean to you?,per-company,Values fit,Same approach; keep it specific.,,
Motivation,"Tell us about yourself / summary (free text, e.g. Pinpoint 'summary')",per-company,Narrative,Optional but often the only free-text slot. Close on a positive note; don't concede gaps.,,
Motivation,Short essays (e.g. 'describe a model you built'),per-company,Evidence of capability,Answer with a real project from the Bullet DB; honor any word limit.,,
AI,Which best describes how you use AI tools today? (ladder),judgment,AI fluency,,,
AI,We may use AI to review applications — acknowledge,consent,Disclosure,User ticks.,,
AI,Do you consent to AI transcription/summary of interviews?,judgment,Consent preference,,,
AI,Pledge not to use AI tools during assessments/interviews,consent,Candidate conduct,A promise about how YOU will behave — always the user's call.,,
Consent,Privacy notice / data processing acknowledgement,consent,Legal,User ticks. Claude never ticks legal boxes.,,
Consent,Arbitration agreement / NDA acknowledgement / electronic signature,consent,Legal,User only. Some T&C boxes bundle an NDA — read before assuming it's just privacy.,,
Consent,SMS / WhatsApp opt-in,judgment,Contact channel,Options may be Opt-In/Opt-Out rather than Yes/No.,,
Consent,Keep my data for future roles / join talent community,judgment,Talent pool opt-in,Consider Yes at companies that cap applications per year — a recruiter contacting you doesn't count against the cap.,,
Consent,Background check consent,consent,Legal,,,
EEO,Gender,judgment,Voluntary EEO,Option wording varies (Female / Woman / Cis-woman). Save your answer AND the decline wording; type a short filter and read the list before picking.,,
EEO,Race / ethnicity (single or multi-select; may be granular),judgment,Voluntary EEO,Some forms only show this after you answer Hispanic/Latino.,,
EEO,Hispanic or Latino?,judgment,Voluntary EEO,,,
EEO,Veteran status,judgment,Voluntary EEO,Wording varies: 'I am not a protected veteran' vs 'I AM NOT A VETERAN'.,,
